term,estimate,penalty
claudiar,0,8.68511373751352e-4
clinico,0.0011040560399503277,8.68511373751352e-4
cll,0,8.68511373751352e-4
closet,-0.01211525447888464,8.68511373751352e-4
club,-4.0997881287278757e-5,8.68511373751352e-4
cocina,-0.013079618246831303,8.68511373751352e-4
cocinar,-0.016106676683367193,8.68511373751352e-4
codigo,4.061534994129911e-5,8.68511373751352e-4
colegio,-9.184218585328469e-5,8.68511373751352e-4
colina,0,8.68511373751352e-4
com,-0.001701451946879234,8.68511373751352e-4
comedor,-0.009106310343975604,8.68511373751352e-4
comercial,0.004620904266974322,8.68511373751352e-4
comercializacion,0,8.68511373751352e-4
comercio,-0.0030152087524214478,8.68511373751352e-4
comoda,0.001745263561822202,8.68511373751352e-4
comodidad,-0.0017178408421129137,8.68511373751352e-4
comodo,-0.003661017055174585,8.68511373751352e-4
compartir,2.151398409586221e-4,8.68511373751352e-4
completamente,0.003716780479362439,8.68511373751352e-4
completo,-0.0029082247102609304,8.68511373751352e-4
comun,0,8.68511373751352e-4
comunal,-0.003984259177972061,8.68511373751352e-4
comunicar,-0.005225488034454935,8.68511373751352e-4
conjunto,-0.005022212230854942,8.68511373751352e-4
conocer,-5.800146842549529e-4,8.68511373751352e-4
constar,-0.0035942066987600207,8.68511373751352e-4
construccion,0.0058745697860041295,8.68511373751352e-4
construido,0.0017153332620201058,8.68511373751352e-4
contactame,-0.0026065719675559033,8.68511373751352e-4
contactano,0,8.68511373751352e-4
contacto,-0.00588839785090252,8.68511373751352e-4
contador,-9.999991159063206e-5,8.68511373751352e-4
contar,0.0012210421115342145,8.68511373751352e-4
corriente,0,8.68511373751352e-4
cortina,0.002445837289111714,8.68511373751352e-4
country,0.003373556559588569,8.68511373751352e-4
cuadra,-0.007948207530258742,8.68511373751352e-4
cuadrar,-0.002871806313770562,8.68511373751352e-4
cuarto,0.01348667947887976,8.68511373751352e-4
cuatro,0.011205846157711436,8.68511373751352e-4
cubierto,-0.01524745246849436,8.68511373751352e-4
cubrir,-0.0025733027965856086,8.68511373751352e-4
cuento,0,8.68511373751352e-4
dar,-0.003099984775215381,8.68511373751352e-4
dentro,9.064827026690715e-4,8.68511373751352e-4
depositar,0.001608116407250178,8.68511373751352e-4
deposito,0,8.68511373751352e-4
depsitar,0,8.68511373751352e-4
depsito,0.001792607310185091,8.68511373751352e-4
descubrir,-0.0025210275470334592,8.68511373751352e-4
dia,0,8.68511373751352e-4
diseno,0.0014889871485843317,8.68511373751352e-4
disfrutar,0,8.68511373751352e-4
distribucin,-0.002951957507825137,8.68511373751352e-4
distribucion,-0.002953119693122146,8.68511373751352e-4
distribuido,-6.042794878789837e-5,8.68511373751352e-4
doble,0.006302334862661359,8.68511373751352e-4
dorado,0.0030714484636696878,8.68511373751352e-4
dos,0,8.68511373751352e-4
dotado,0.005377561677136437,8.68511373751352e-4
ducho,0,8.68511373751352e-4
duplex,0.002693593915104958,8.68511373751352e-4
edificio,0,8.68511373751352e-4
elctrico,0.006258868734110841,8.68511373751352e-4
electrico,0.00599510129262584,8.68511373751352e-4
encontrar,-0.0015126660338474485,8.68511373751352e-4
entrado,-7.298381270876464e-4,8.68511373751352e-4
entrar,1.2881314323117727e-4,8.68511373751352e-4
entregar,-3.6206614444977037e-4,8.68511373751352e-4
escalera,-2.0915682176311508e-4,8.68511373751352e-4
espacio,0.003450465848952842,8.68511373751352e-4
espacioso,-0.001845129676977613,8.68511373751352e-4
espectacular,0.012614764612682218,8.68511373751352e-4
esperanza,-2.4021373860026737e-5,8.68511373751352e-4
esquinero,1.3522599510300948e-4,8.68511373751352e-4
est,-0.00233779859549465,8.68511373751352e-4
estacion,0.0014920891770089668,8.68511373751352e-4
estilo,1.8519126198415895e-4,8.68511373751352e-4
